sentId,before,after,idx,len_sent
18,a-lot-of,much,-1,11
18,at-most-3,no,0,7
19,at-least-3,some,0,6
20,a-lot-of,much,-1,11
20,at-least-3,some,0,7
21,at-most-3,no,0,6
22,a-lot-of,much,-1,11
24,a-lot-of,much,-1,11
26,a-lot-of,much,-1,11
28,a-lot-of,much,-1,11
48,at-most-3,no,0,6
49,a-lot-of,much,-1,11
49,at-least-3,some,0,7
50,at-least-3,some,0,6
51,a-lot-of,much,-1,11
51,at-most-3,no,0,7
53,a-lot-of,much,-1,11
55,a-lot-of,much,-1,11
57,a-lot-of,much,-1,11
59,a-lot-of,much,-1,11
126,a-lot-of,much,-1,10
127,a-lot-of,much,-1,11
128,a-lot-of,much,-1,10
129,a-lot-of,much,-1,11
130,at-most-3,no,0,7
131,at-least-3,some,0,6
132,at-least-3,some,0,7
133,at-least-3,some,0,6
134,at-least-3,some,0,7
135,at-least-3,some,0,6
136,at-least-3,some,0,7
137,at-most-3,no,0,6
216,a-lot-of,much,-1,9
217,a-lot-of,much,-1,12
218,a-lot-of,much,-1,9
219,a-lot-of,much,-1,12
220,at-most-3,no,0,6
221,at-least-3,some,0,7
222,at-least-3,some,0,6
223,at-most-3,no,0,7
224,at-least-3,some,0,6
225,at-least-3,some,0,7
226,at-least-3,some,0,6
227,at-least-3,some,0,7
880,a-lot-of,much,-1,10
881,a-lot-of,much,-1,15
882,a-lot-of,much,-1,10
883,a-lot-of,much,-1,15
884,a-lot-of,much,-1,10
885,a-lot-of,much,-1,16
886,a-lot-of,much,-1,10
887,a-lot-of,much,-1,16
888,a-lot-of,much,-1,15
889,a-lot-of,much,-1,10
890,a-lot-of,much,-1,15
891,a-lot-of,much,-1,10
892,a-lot-of,much,-1,16
893,a-lot-of,much,-1,10
894,a-lot-of,much,-1,16
895,a-lot-of,much,-1,10
1770,a-lot-of,much,-1,9
1771,a-lot-of,much,-1,9
1772,a-lot-of,much,-1,9
1773,a-lot-of,much,-1,9
1970,a-lot-of,much,-1,9
1971,a-lot-of,much,-1,10
1972,a-lot-of,much,-1,9
1973,a-lot-of,much,-1,10
1974,a-lot-of,much,-1,10
1975,a-lot-of,much,-1,9
1976,a-lot-of,much,-1,10
1977,a-lot-of,much,-1,9
1978,a-lot-of,much,-1,9
1979,a-lot-of,much,-1,10
1980,a-lot-of,much,-1,10
1981,a-lot-of,much,-1,9
2784,a-lot-of,much,-1,8
2785,a-lot-of,much,-1,8
2786,a-lot-of,much,-1,8
2787,a-lot-of,much,-1,8
2788,a-lot-of,much,-1,8
2789,a-lot-of,much,-1,8
2790,a-lot-of,much,-1,8
2791,a-lot-of,much,-1,8
2818,a-lot-of,much,-1,6
2819,a-lot-of,much,-1,7
2820,a-lot-of,much,-1,7
2821,a-lot-of,much,-1,6
7744,a-lot-of,much,-1,8
7746,a-lot-of,much,-1,8
8264,a-lot-of,much,-1,8
8265,a-lot-of,much,-1,9
8266,a-lot-of,much,-1,8
8267,a-lot-of,much,-1,9
8268,a-lot-of,much,-1,8
8269,a-lot-of,much,-1,9
8270,a-lot-of,much,-1,9
8271,a-lot-of,much,-1,8
8272,a-lot-of,much,-1,9
8273,a-lot-of,much,-1,8
8274,a-lot-of,much,-1,9
8275,a-lot-of,much,-1,8
8300,less-than-70,no,3,5
8302,less-than-70,no,3,5
12780,exactly-12,some,0,5
12781,exactly-12,some,0,4
12976,exactly-12,some,0,5
12977,exactly-12,some,0,4
13108,exactly-12,some,0,4
13109,exactly-12,some,0,4
13110,exactly-12,some,0,4
13111,exactly-12,some,0,4
13725,less-than-3,no,2,4
13727,less-than-3,no,2,4
13728,less-than-3,no,2,4
13730,less-than-3,no,2,4
13733,less-than-3,no,2,4
13735,less-than-3,no,2,4
13736,less-than-3,no,2,4
13738,less-than-3,no,2,4
13741,at-most-3,no,0,5
13742,at-least-3,some,0,5
13743,at-most-3,no,0,5
13744,at-most-3,no,0,5
13746,at-most-3,no,0,5
13747,at-least-3,some,0,5
13749,at-most-3,no,0,5
13750,at-least-3,some,0,5
13751,at-most-3,no,0,5
13752,at-most-3,no,0,5
13754,at-most-3,no,0,5
13755,at-least-3,some,0,5
13816,at-most-5,no,0,4
13817,at-least-5,some,0,4
13818,at-least-5,some,0,4
13819,at-most-5,no,0,4
13820,at-most-5,no,0,4
13821,at-least-5,some,0,4
13822,at-least-5,some,0,4
13823,at-most-5,no,0,4
13826,more-than-5,some,0,4
13831,more-than-5,some,0,4
13834,more-than-5,some,0,4
13839,more-than-5,some,0,4
13866,more-than-3,some,6,10
13871,more-than-3,some,6,11
13874,more-than-3,some,6,11
13879,more-than-3,some,6,10
13880,at-most-3,no,0,4
13881,at-least-3,some,0,4
13882,at-least-3,some,0,4
13883,at-most-3,no,0,4
13884,at-most-3,no,0,4
13885,at-least-3,some,0,4
13886,at-least-3,some,0,4
13887,at-most-3,no,0,4
13889,at-most-3,no,0,4
13890,at-least-3,some,0,4
13891,at-most-3,no,0,4
13892,at-most-3,no,0,4
13894,at-most-3,no,0,4
13895,at-least-3,some,0,4
13897,at-most-3,no,0,4
13898,at-least-3,some,0,4
13899,at-most-3,no,0,4
13900,at-most-3,no,0,4
13902,at-most-3,no,0,4
13903,at-least-3,some,0,4
13904,at-most-3,no,0,5
13905,at-least-3,some,0,4
13906,at-least-3,some,0,5
13907,at-most-3,no,0,4
13908,at-most-3,no,0,4
13909,at-least-3,some,0,5
13910,at-least-3,some,0,4
13911,at-most-3,no,0,5
13913,at-most-3,no,0,5
13914,at-least-3,some,0,4
13915,at-most-3,no,0,5
13916,at-most-3,no,0,4
13918,at-most-3,no,0,4
13919,at-least-3,some,0,5
13921,at-most-3,no,0,4
13922,at-least-3,some,0,5
13923,at-most-3,no,0,4
13924,at-most-3,no,0,5
13926,at-most-3,no,0,5
13927,at-least-3,some,0,4
14005,less-than-5,no,0,6
14007,less-than-5,no,0,6
14008,less-than-5,no,0,11
14010,less-than-5,no,0,11
14013,less-than-5,no,0,6
14015,less-than-5,no,0,6
14016,less-than-5,no,0,10
14018,less-than-5,no,0,10
14021,less-than-5,no,0,7
14023,less-than-5,no,0,7
14024,less-than-5,no,0,12
14026,less-than-5,no,0,12
14029,less-than-5,no,0,7
14031,less-than-5,no,0,7
14032,less-than-5,no,0,11
14034,less-than-5,no,0,11
14037,less-than-5,no,0,7
14039,less-than-5,no,0,7
14040,less-than-5,no,0,12
14042,less-than-5,no,0,12
14045,less-than-5,no,0,7
14047,less-than-5,no,0,7
14048,less-than-5,no,0,11
14050,less-than-5,no,0,11
14053,less-than-5,no,0,9
14055,less-than-5,no,0,9
14056,less-than-5,no,0,14
14058,less-than-5,no,0,14
14061,less-than-5,no,0,9
14063,less-than-5,no,0,9
14064,less-than-5,no,0,13
14066,less-than-5,no,0,13
14133,more-than-5,some,1,7
14135,more-than-5,some,1,7
14136,more-than-5,some,1,12
14138,more-than-5,some,1,12
14141,more-than-5,some,1,7
14143,more-than-5,some,1,7
14144,more-than-5,some,1,11
14146,more-than-5,some,1,11
14149,more-than-5,some,1,8
14151,more-than-5,some,1,8
14152,more-than-5,some,1,13
14154,more-than-5,some,1,13
14157,more-than-5,some,1,8
14159,more-than-5,some,1,8
14160,more-than-5,some,1,12
14162,more-than-5,some,1,12
14196,at-most-5,no,0,11
14197,at-least-5,some,0,6
14198,at-least-5,some,0,11
14199,at-most-5,no,0,6
14200,at-most-5,no,0,10
14201,at-least-5,some,0,6
14202,at-least-5,some,0,10
14203,at-most-5,no,0,6
14204,at-most-5,no,0,12
14205,at-least-5,some,0,7
14206,at-least-5,some,0,12
14207,at-most-5,no,0,7
14208,at-most-5,no,0,11
14209,at-least-5,some,0,7
14210,at-least-5,some,0,11
14211,at-most-5,no,0,7
14237,more-than-5,some,0,6
14239,more-than-5,some,0,6
14240,more-than-5,some,0,11
14242,more-than-5,some,0,11
14245,more-than-5,some,0,6
14247,more-than-5,some,0,6
14248,more-than-5,some,0,10
14250,more-than-5,some,0,10
14253,more-than-5,some,0,7
14255,more-than-5,some,0,7
14256,more-than-5,some,0,12
14258,more-than-5,some,0,12
14261,more-than-5,some,0,7
14263,more-than-5,some,0,7
14264,more-than-5,some,0,11
14266,more-than-5,some,0,11
14269,more-than-5,some,0,7
14271,more-than-5,some,0,7
14272,more-than-5,some,0,12
14274,more-than-5,some,0,12
14277,more-than-5,some,0,7
14279,more-than-5,some,0,7
14280,more-than-5,some,0,11
14282,more-than-5,some,0,11
14285,more-than-5,some,0,9
14287,more-than-5,some,0,9
14288,more-than-5,some,0,14
14290,more-than-5,some,0,14
14293,more-than-5,some,0,9
14295,more-than-5,some,0,9
14296,more-than-5,some,0,13
14298,more-than-5,some,0,13
14365,less-than-5,no,1,7
14367,less-than-5,no,1,7
14368,less-than-5,no,1,12
14370,less-than-5,no,1,12
14373,less-than-5,no,1,7
14375,less-than-5,no,1,7
14376,less-than-5,no,1,11
14378,less-than-5,no,1,11
14381,less-than-5,no,1,8
14383,less-than-5,no,1,8
14384,less-than-5,no,1,13
14386,less-than-5,no,1,13
14389,less-than-5,no,1,8
14391,less-than-5,no,1,8
14392,less-than-5,no,1,12
14394,less-than-5,no,1,12
14437,less-than-5,no,0,11
14439,less-than-5,no,0,11
14440,less-than-5,no,0,6
14442,less-than-5,no,0,6
14445,less-than-5,no,0,10
14447,less-than-5,no,0,10
14448,less-than-5,no,0,6
14450,less-than-5,no,0,6
14453,less-than-5,no,0,12
14455,less-than-5,no,0,12
14456,less-than-5,no,0,7
14458,less-than-5,no,0,7
14461,less-than-5,no,0,11
14463,less-than-5,no,0,11
14464,less-than-5,no,0,7
14466,less-than-5,no,0,7
14469,less-than-5,no,0,12
14471,less-than-5,no,0,12
14472,less-than-5,no,0,7
14474,less-than-5,no,0,7
14477,less-than-5,no,0,11
14479,less-than-5,no,0,11
14480,less-than-5,no,0,7
14482,less-than-5,no,0,7
14485,less-than-5,no,0,14
14487,less-than-5,no,0,14
14488,less-than-5,no,0,9
14490,less-than-5,no,0,9
14493,less-than-5,no,0,13
14495,less-than-5,no,0,13
14496,less-than-5,no,0,9
14498,less-than-5,no,0,9
14565,more-than-5,some,1,12
14567,more-than-5,some,1,12
14568,more-than-5,some,1,7
14570,more-than-5,some,1,7
14573,more-than-5,some,1,11
14575,more-than-5,some,1,11
14576,more-than-5,some,1,7
14578,more-than-5,some,1,7
14581,more-than-5,some,1,13
14583,more-than-5,some,1,13
14584,more-than-5,some,1,8
14586,more-than-5,some,1,8
14589,more-than-5,some,1,12
14591,more-than-5,some,1,12
14592,more-than-5,some,1,8
14594,more-than-5,some,1,8
14628,at-most-5,no,0,6
14629,at-least-5,some,0,11
14630,at-least-5,some,0,6
14631,at-most-5,no,0,11
14632,at-most-5,no,0,6
14633,at-least-5,some,0,10
14634,at-least-5,some,0,6
14635,at-most-5,no,0,10
14636,at-most-5,no,0,7
14637,at-least-5,some,0,12
14638,at-least-5,some,0,7
14639,at-most-5,no,0,12
14640,at-most-5,no,0,7
14641,at-least-5,some,0,11
14642,at-least-5,some,0,7
14643,at-most-5,no,0,11
14669,more-than-5,some,0,11
14671,more-than-5,some,0,11
14672,more-than-5,some,0,6
14674,more-than-5,some,0,6
14677,more-than-5,some,0,10
14679,more-than-5,some,0,10
14680,more-than-5,some,0,6
14682,more-than-5,some,0,6
14685,more-than-5,some,0,12
14687,more-than-5,some,0,12
14688,more-than-5,some,0,7
14690,more-than-5,some,0,7
14693,more-than-5,some,0,11
14695,more-than-5,some,0,11
14696,more-than-5,some,0,7
14698,more-than-5,some,0,7
14701,more-than-5,some,0,12
14703,more-than-5,some,0,12
14704,more-than-5,some,0,7
14706,more-than-5,some,0,7
14709,more-than-5,some,0,11
14711,more-than-5,some,0,11
14712,more-than-5,some,0,7
14714,more-than-5,some,0,7
14717,more-than-5,some,0,14
14719,more-than-5,some,0,14
14720,more-than-5,some,0,9
14722,more-than-5,some,0,9
14725,more-than-5,some,0,13
14727,more-than-5,some,0,13
14728,more-than-5,some,0,9
14730,more-than-5,some,0,9
14797,less-than-5,no,1,12
14799,less-than-5,no,1,12
14800,less-than-5,no,1,7
14802,less-than-5,no,1,7
14805,less-than-5,no,1,11
14807,less-than-5,no,1,11
14808,less-than-5,no,1,7
14810,less-than-5,no,1,7
14813,less-than-5,no,1,13
14815,less-than-5,no,1,13
14816,less-than-5,no,1,8
14818,less-than-5,no,1,8
14821,less-than-5,no,1,12
14823,less-than-5,no,1,12
14824,less-than-5,no,1,8
14826,less-than-5,no,1,8
