sentId,before,after,idx,len_sent
270,at-most-3,no,0,8
274,at-least-2,some,0,8
324,a-lot-of,much,-1,11
324,at-most-3,no,0,7
325,at-least-3,some,0,6
326,a-lot-of,much,-1,11
326,at-least-3,some,0,7
327,at-most-3,no,0,6
328,a-lot-of,much,-1,11
330,a-lot-of,much,-1,11
332,a-lot-of,much,-1,11
334,a-lot-of,much,-1,11
384,at-most-3,no,0,6
385,a-lot-of,much,-1,11
385,at-least-3,some,0,7
386,at-least-3,some,0,6
387,a-lot-of,much,-1,11
387,at-most-3,no,0,7
389,a-lot-of,much,-1,11
391,a-lot-of,much,-1,11
393,a-lot-of,much,-1,11
395,a-lot-of,much,-1,11
494,a-lot-of,much,-1,10
495,a-lot-of,much,-1,11
496,a-lot-of,much,-1,10
497,a-lot-of,much,-1,11
498,at-most-3,no,0,7
499,at-least-3,some,0,6
500,at-least-3,some,0,7
501,at-least-3,some,0,6
502,at-least-3,some,0,7
503,at-least-3,some,0,6
504,at-least-3,some,0,7
505,at-most-3,no,0,6
616,a-lot-of,much,-1,9
617,a-lot-of,much,-1,12
618,a-lot-of,much,-1,9
619,a-lot-of,much,-1,12
620,at-most-3,no,0,6
621,at-least-3,some,0,7
622,at-least-3,some,0,6
623,at-most-3,no,0,7
624,at-least-3,some,0,6
625,at-least-3,some,0,7
626,at-least-3,some,0,6
627,at-least-3,some,0,7
